week_number,volume,closing_price
1248,15383298,15383298
1247,23968505,23968505
1246,27466323,27466323
1245,29085296,29085296
1244,21955379,21955379
1243,17487852,17487852
1242,21745006,21745006
1241,22784812,22784812
1240,28283876,28283876
1239,56232762,56232762
1238,19864308,19864308
1237,17643392,17643392
1236,14822074,14822074
1235,9376537,9376537
1234,17686398,17686398
1233,33504550,33504550
1232,21918957,21918957
1231,21900644,21900644
1230,11362696,11362696
1229,19547595,19547595
1228,18357944,18357944
1227,22959464,22959464
1226,30227448,30227448
1225,21044049,21044049
1224,16386334,16386334
1223,15932918,15932918
1222,23445425,23445425
1221,23597168,23597168
1220,19316647,19316647
1219,13719451,13719451
1218,15198607,15198607
1217,15614989,15614989
1216,18826007,18826007
1215,19428470,19428470
1214,24072830,24072830
1213,24310886,24310886
1212,29295540,29295540
1211,15109770,15109770
1210,10923840,10923840
1209,18695850,18695850
1208,27111509,27111509
1207,24228597,24228597
1206,21174178,21174178
1205,24339245,24339245
1204,21029979,21029979
1203,18284524,18284524
1202,20404364,20404364
1201,21164660,21164660
1200,20644224,20644224
1199,30341128,30341128
1198,19506500,19506500
1197,13172262,13172262
1196,20779522,20779522
1195,20458253,20458253
1194,66132690,66132690
1193,20761401,20761401
1192,17865677,17865677
1191,14198950,14198950
1190,16543870,16543870
1189,22140989,22140989
1188,27874571,27874571
1187,43345140,43345140
1186,21419368,21419368
1185,14580596,14580596
1184,13648755,13648755
1183,10477419,10477419
1182,19663576,19663576
1181,33572382,33572382
1180,15316930,15316930
1179,20066941,20066941
1178,16271883,16271883
1177,22034930,22034930
1176,25066114,25066114
1175,22491556,22491556
1174,26667185,26667185
1173,37309868,37309868
1172,22973512,22973512
1171,21614952,21614952
1170,22265241,22265241
1169,19442664,19442664
1168,27107187,27107187
1167,12004834,12004834
1166,15086608,15086608
1165,16982107,16982107
1164,17105977,17105977
1163,17254110,17254110
1162,17400572,17400572
1161,22223785,22223785
1160,66246811,66246811
1159,21089228,21089228
1158,16229131,16229131
1157,21052787,21052787
1156,23921844,23921844
1155,34055621,34055621
1154,18914084,18914084
1153,19861566,19861566
1152,19618090,19618090
1151,27360441,27360441
1150,31171489,31171489
1149,27079586,27079586
1148,24560464,24560464
1147,47056765,47056765
1146,15342641,15342641
1145,16553021,16553021
1144,19183786,19183786
1143,15440952,15440952
1142,22675632,22675632
1141,23784887,23784887
1140,26131658,26131658
1139,20417161,20417161
1138,26022824,26022824
1137,23489144,23489144
1136,27665550,27665550
1135,52800401,52800401
1134,20520487,20520487
1133,32044685,32044685
1132,36013766,36013766
1131,18454937,18454937
1130,17369625,17369625
1129,35216850,35216850
1128,25031512,25031512
1127,36059651,36059651
1126,17875027,17875027
1125,24272797,24272797
1124,29109912,29109912
1123,29791780,29791780
1122,34288134,34288134
1121,59731582,59731582
1120,16262687,16262687
1119,27211291,27211291
1118,23824191,23824191
1117,18425230,18425230
1116,20130213,20130213
1115,13754250,13754250
1114,13345045,13345045
1113,12376600,12376600
1112,16189007,16189007
1111,18462255,18462255
1110,16428567,16428567
1109,16120616,16120616
1108,34786264,34786264
1107,18659679,18659679
1106,21544898,21544898
1105,29077036,29077036
1104,17129373,17129373
1103,23177438,23177438
1102,22042806,22042806
1101,12453017,12453017
1100,18483838,18483838
1099,20546126,20546126
1098,27415665,27415665
1097,31590796,31590796
1096,25588990,25588990
1095,47246234,47246234
1094,26831249,26831249
1093,19179860,19179860
1092,18432506,18432506
1091,23647858,23647858
1090,28046462,28046462
1089,29253064,29253064
1088,32662092,32662092
1087,30731807,30731807
1086,22567552,22567552
1085,24634263,24634263
1084,28405606,28405606
1083,56437187,56437187
1082,61879427,61879427
1081,29417959,29417959
1080,28434389,28434389
1079,14025419,14025419
1078,14908439,14908439
1077,25280527,25280527
1076,29511629,29511629
1075,24848983,24848983
1074,19418148,19418148
1073,22498909,22498909
1072,30088820,30088820
1071,25467232,25467232
1070,37250916,37250916
1069,50486636,50486636
1068,21874963,21874963
1067,43381507,43381507
1066,15038264,15038264
1065,18708494,18708494
1064,18909398,18909398
1063,16507866,16507866
1062,26310920,26310920
1061,16959794,16959794
1060,15908978,15908978
1059,18634659,18634659
1058,17701697,17701697
1057,20010578,20010578
1056,41040414,41040414
1055,21958911,21958911
1054,22560031,22560031
1053,16478700,16478700
1052,35016186,35016186
1051,24867689,24867689
1050,33456639,33456639
1049,19514867,19514867
1048,23037728,23037728
1047,19484187,19484187
1046,24229073,24229073
1045,21189890,21189890
1044,26502989,26502989
1043,41252209,41252209
1042,27240371,27240371
1041,23351117,23351117
1040,28882211,28882211
1039,39907532,39907532
1038,47138046,47138046
1037,55580046,55580046
1036,35054761,35054761
1035,38480655,38480655
1034,12493166,12493166
1033,23423757,23423757
1032,43694755,43694755
1031,34661511,34661511
1030,34829367,34829367
1029,20831539,20831539
1028,17020619,17020619
1027,13418364,13418364
1026,8887084,8887084
1025,20036502,20036502
1024,17504239,17504239
1023,17337693,17337693
1022,11502959,11502959
1021,16963107,16963107
1020,16169172,16169172
1019,17174941,17174941
1018,16136475,16136475
1017,19388201,19388201
1016,34208011,34208011
1015,14096608,14096608
1014,15911420,15911420
1013,12376163,12376163
1012,15262993,15262993
1011,17776693,17776693
1010,12663912,12663912
1009,16211916,16211916
1008,16504912,16504912
1007,20933133,20933133
1006,28623442,28623442
1005,22876887,22876887
1004,16794485,16794485
1003,31893327,31893327
1002,13194248,13194248
1001,9862722,9862722
1000,15575818,15575818
999,15851123,15851123
998,13722199,13722199
997,16193845,16193845
996,14869322,14869322
995,15557532,15557532
994,16426011,16426011
993,19509963,19509963
992,16772230,16772230
991,16961387,16961387
990,27390537,27390537
989,13675882,13675882
988,14574262,14574262
987,14257045,14257045
986,17883337,17883337
985,20959826,20959826
984,18558647,18558647
983,15273342,15273342
982,13238819,13238819
981,17299173,17299173
980,21874687,21874687
979,23585862,23585862
978,44147478,44147478
977,23616108,23616108
976,19780844,19780844
975,18047093,18047093
974,21630293,21630293
973,39485288,39485288
972,23701178,23701178
971,25801474,25801474
970,27471124,27471124
969,18035587,18035587
968,23510061,23510061
967,48482997,48482997
966,87773431,87773431
965,36964774,36964774
964,50928336,50928336
963,27703434,27703434
962,18943237,18943237
961,22847744,22847744
960,37327961,37327961
959,20298346,20298346
958,15394651,15394651
957,15929583,15929583
956,12992907,12992907
955,17890077,17890077
954,17100909,17100909
953,24366161,24366161
952,19940363,19940363
951,36572622,36572622
